"Well","Omit","Sample","Target","Task","Dyes","Cq","Cq.Conf","Amp.Score","Amp.Status","Annotated","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4","Curve.Quality","Result.Quality.Issues","X","Plate","Average.Cq","Diff.Cq","Order","Tech.replica","Exclude"
"I12",FALSE,"EC1","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,87.56449127,89.9538269,82.87771606,92.61886597,"",NA,NA,"Plate1",NA,0,185,1,"No"
"E13",FALSE,"140A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,81.86998749,61.92505646,79.5721817,88.39575195,"",NA,NA,"Plate1",NA,0,197,1,"No"
"O13",FALSE,"EC4","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,92.16414642,89.68251801,84.90309143,86.74133301,"",NA,NA,"Plate1",NA,0,207,1,"No"
"O15",FALSE,"129A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,37,84.71926117,79.29644775,92.43988037,61.09784698,"",NA,NA,"Plate1",NA,0,239,1,"No"
"A16",FALSE,"127A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.718004177,"No Amp",FALSE,3,44,73.59790039,79.66409302,88.12001038,85.63838196,"",NA,NA,"Plate1",NA,0,241,1,"No"
"E16",FALSE,"110A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,86.46559143,89.31486511,84.16779327,81.22660065,"",NA,NA,"Plate1",NA,0,245,1,"No"
"E18",FALSE,"EC6","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.58836913,"No Amp",FALSE,3,44,93.06636047,81.58321381,88.38124084,83.32865143,"",NA,NA,"Plate1",NA,0,277,1,"No"
"K18",FALSE,"169A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,80.94015503,85.62528229,83.60424805,88.47309875,"",NA,NA,"Plate1",NA,0,283,1,"No"
"G19",FALSE,"170A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,86.08460999,79.1028595,81.03202057,90.67786407,"",NA,NA,"Plate1",NA,0,295,1,"No"
"M20",FALSE,"EC7","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,92.23957825,79.28658295,77.08181763,89.48361969,"",NA,NA,"Plate1",NA,0,317,1,"No"
"C21",FALSE,"101A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,80.05864716,84.75234222,91.10263062,87.23724365,"",NA,NA,"Plate1",NA,0,323,1,"No"
"G21",FALSE,"120A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,87.51333618,90.36637115,84.66030884,74.81275177,"",NA,NA,"Plate1",NA,0,327,1,"No"
"G22",FALSE,"100A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,87.69740295,90.64247131,78.58611298,80.97898102,"",NA,NA,"Plate1",NA,0,343,1,"No"
"K24",FALSE,"096A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,90.27433777,84.47624207,88.43367004,81.99134827,"",NA,NA,"Plate1",NA,0,379,1,"No"
